date,capacity,turnover,high,low,close,change,transaction_volume,stock_code_id,open
2015-01-05,8361754,240804907,29.05,28.4,28.75,0.05,3360,3231,28.4
2015-01-06,14675375,413750426,28.55,28.0,28.1,-0.65,5392,3231,28.5
2015-01-07,9856600,278772101,28.45,28.0,28.3,0.2,3983,3231,28.1
2015-01-08,14111081,408010160,29.1,28.4,28.95,0.65,5039,3231,28.4
2015-01-09,16729133,490090440,29.5,29.1,29.1,0.15,6555,3231,29.4
2015-01-12,7714428,223525856,29.3,28.8,28.8,-0.3,3492,3231,29.0
2015-01-13,38912411,1173010431,30.75,29.0,30.65,1.85,14756,3231,29.0
2015-01-14,32904859,1005710200,30.85,30.0,30.7,0.05,11286,3231,30.65
2015-01-15,21773583,655042993,30.65,29.9,29.9,-0.8,9241,3231,30.6
2015-01-16,34391710,1029413792,30.5,29.6,30.05,0.15,11897,3231,30.45
2015-01-19,16177293,483510304,30.45,29.5,29.6,-0.45,7300,3231,30.35
2015-01-20,16761510,497693797,30.0,29.4,29.75,0.15,7722,3231,29.7
2015-01-21,10128676,299902927,30.0,29.5,29.5,-0.25,4081,3231,30.0
2015-01-22,20105061,601041580,30.15,29.5,30.0,0.5,6736,3231,29.5
2015-01-23,28313456,847177108,30.35,29.55,29.6,-0.4,8907,3231,30.3
2015-01-26,14036905,411636285,29.6,29.2,29.3,-0.3,5185,3231,29.5
2015-01-27,8813143,260381947,29.7,29.4,29.6,0.3,3459,3231,29.5
2015-01-28,6165154,181721633,29.6,29.35,29.5,-0.1,2615,3231,29.5
2015-01-29,10174909,297255432,29.55,29.05,29.15,-0.35,3975,3231,29.5
2015-01-30,8208450,238901250,29.35,29.0,29.0,-0.15,2809,3231,29.15
2015-02-02,12656740,362479171,29.1,28.5,28.55,-0.45,5691,3231,29.0
2015-02-03,10510458,299582435,28.75,28.3,28.5,-0.05,4950,3231,28.55
2015-02-04,11025193,316950648,28.95,28.6,28.7,0.2,5903,3231,28.65
2015-02-05,14198490,413724587,29.4,28.6,29.35,0.65,5399,3231,28.7
2015-02-06,10659257,310044747,29.35,28.85,29.05,-0.3,3965,3231,29.35
2015-02-09,5221994,150767666,29.1,28.7,28.7,-0.35,2349,3231,29.1
2015-02-10,6218108,177871364,28.8,28.5,28.5,-0.2,3160,3231,28.7
2015-02-11,5902300,168089928,28.75,28.3,28.5,0.0,2773,3231,28.6
2015-02-12,14391837,417626156,29.25,28.8,29.25,0.75,5851,3231,28.85
2015-02-13,19650618,576677933,29.6,29.0,29.0,-0.25,7936,3231,29.45
2015-02-24,16879478,493948799,29.7,29.0,29.05,0.05,6749,3231,29.6
2015-02-25,14556380,424643666,29.4,29.05,29.2,0.15,5278,3231,29.1
2015-02-26,23294084,688867003,29.85,29.05,29.65,0.45,7144,3231,29.2
2015-03-02,19663380,584761487,29.9,29.5,29.8,0.15,6464,3231,29.8
2015-03-03,19252048,566589425,29.85,29.2,29.3,-0.5,6408,3231,29.85
2015-03-04,12310008,361987603,29.55,29.15,29.45,0.15,4825,3231,29.3
2015-03-05,30781856,890046024,29.25,28.6,29.0,-0.45,11176,3231,29.25
2015-03-06,22877704,657767062,28.9,28.6,28.8,-0.2,7697,3231,28.75
2015-03-09,15328183,442381566,29.15,28.6,28.85,0.05,5594,3231,28.6
2015-03-10,17868359,518132224,29.25,28.7,29.05,0.2,6710,3231,29.05
2015-03-11,34152029,974215261,28.75,28.1,28.55,-0.5,10883,3231,28.25
2015-03-12,21590825,616260355,28.85,28.25,28.55,0.0,7683,3231,28.35
2015-03-13,31761461,896852245,28.55,28.0,28.0,-0.55,12323,3231,28.35
2015-03-16,24821734,686736999,28.05,27.5,27.5,-0.5,10222,3231,28.0
2015-03-17,19174051,526313003,27.85,27.2,27.2,-0.3,7459,3231,27.65
2015-03-18,19751239,538289891,27.45,27.0,27.2,0.0,6997,3231,27.0
2015-03-19,27564384,760030311,27.95,27.2,27.9,0.7,9926,3231,27.2
2015-03-20,26853684,740516399,27.8,27.5,27.5,-0.4,8634,3231,27.6
2015-03-23,14709953,408932629,28.15,27.5,27.7,0.2,5091,3231,27.5
2015-03-24,8839513,245040044,27.9,27.55,27.8,0.1,3251,3231,27.7
2015-03-25,15671607,429725883,27.75,27.3,27.3,-0.5,6066,3231,27.6
2015-03-26,12669295,344118200,27.35,27.0,27.35,0.05,4781,3231,27.0
2015-03-27,13172084,360317435,27.6,27.15,27.3,-0.05,4243,3231,27.15
2015-03-30,12041909,326452262,27.35,27.0,27.05,-0.25,5104,3231,27.3
2015-03-31,24282815,651477517,27.25,26.55,26.6,-0.45,9163,3231,27.15
2015-04-01,11949214,318938074,26.95,26.4,26.7,0.1,5119,3231,26.6
2015-04-02,11491631,307960032,26.95,26.7,26.75,0.05,5347,3231,26.8
2015-04-07,6737903,181411448,27.05,26.8,26.95,0.2,2929,3231,27.0
2015-04-08,12814210,341115227,26.95,26.5,26.55,-0.4,5001,3231,26.95
2015-04-09,10414654,279284569,26.95,26.6,26.8,0.25,3957,3231,26.6
2015-04-10,11761027,315479229,27.05,26.6,27.05,0.25,4769,3231,27.0
2015-04-13,9007234,242015573,27.2,26.7,26.75,-0.3,3841,3231,27.2
2015-04-14,12677530,339585577,26.9,26.65,26.9,0.15,3962,3231,26.7
2015-04-15,14570664,388536116,26.95,26.55,26.55,-0.35,5800,3231,26.9
2015-04-16,18052176,485213234,27.2,26.6,27.1,0.55,6912,3231,26.7
2015-04-17,10690806,286724171,27.0,26.7,26.7,-0.4,4945,3231,27.0
2015-04-20,14687728,386634263,26.65,26.15,26.2,-0.5,5805,3231,26.6
2015-04-21,14700750,383441057,26.45,25.9,25.95,-0.25,5038,3231,26.3
2015-04-22,11240189,295075936,26.45,25.95,26.2,0.25,4199,3231,25.95
2015-04-23,15812838,423219057,26.95,26.4,26.85,0.65,6041,3231,26.4
2015-04-24,20079243,545831347,27.4,26.95,27.25,0.4,7358,3231,27.0
2015-04-27,16217213,444069814,27.55,27.15,27.45,0.2,6174,3231,27.45
2015-04-28,11825801,320469483,27.45,26.9,27.05,-0.4,4632,3231,27.45
2015-04-29,14020165,373978821,27.0,26.5,26.5,-0.55,5763,3231,26.85
2015-04-30,17319056,455479352,26.75,26.15,26.15,-0.35,5880,3231,26.5
2015-05-04,14634987,382777240,26.35,26.0,26.0,-0.15,5993,3231,26.15
2015-05-05,21143674,543817668,26.15,25.55,25.55,-0.45,8619,3231,26.0
2015-05-06,21547363,543089151,25.5,25.05,25.15,-0.4,7411,3231,25.5
2015-05-07,14343993,363825095,25.65,25.05,25.55,0.4,5374,3231,25.05
2015-05-08,10608548,268103021,25.5,25.2,25.2,-0.35,3607,3231,25.5
2015-05-11,16177563,402611297,25.45,24.75,24.75,-0.45,5942,3231,25.25
2015-05-12,22661443,546054318,24.75,23.8,24.0,-0.75,8519,3231,24.75
2015-05-13,16916985,417086075,25.05,24.0,25.0,1.0,5959,3231,24.0
2015-05-14,11034458,272709164,25.1,24.5,24.6,-0.4,4567,3231,25.05
2015-05-15,26905900,696065102,26.2,25.6,25.75,1.15,9408,3231,25.9
2015-05-18,15259915,390099011,25.95,25.3,25.4,-0.35,5798,3231,25.75
2015-05-19,11803143,300460433,25.65,25.3,25.6,0.2,5498,3231,25.5
2015-05-20,12793637,321546031,25.5,25.0,25.05,-0.55,5922,3231,25.3
2015-05-21,9679441,239266967,25.0,24.6,24.65,-0.4,4426,3231,24.9
2015-05-22,9253988,228266088,24.9,24.6,24.65,0.0,3577,3231,24.65
2015-05-25,17999917,451821919,25.45,24.5,25.4,0.75,6307,3231,24.5
2015-05-26,7693559,195001677,25.6,25.2,25.3,-0.1,3280,3231,25.55
2015-05-27,7396754,185783796,25.35,25.0,25.15,-0.15,3633,3231,25.1
2015-05-28,15674286,399800578,25.75,25.1,25.65,0.5,5973,3231,25.3
2015-05-29,11523797,292538106,25.7,25.2,25.2,-0.45,3866,3231,25.7
2015-06-01,8661130,216175400,25.2,24.8,24.9,-0.3,3575,3231,25.05
2015-06-02,7090732,176856650,25.2,24.7,24.9,0.0,2871,3231,24.9
2015-06-03,8585352,212380148,25.0,24.6,24.6,-0.3,3815,3231,25.0
2015-06-04,19389868,468928704,24.65,24.0,24.05,-0.55,7212,3231,24.5
2015-06-05,11731456,282556560,24.4,23.95,24.2,0.15,4183,3231,24.0
2015-06-08,11068306,264312607,24.2,23.65,24.0,-0.2,4509,3231,24.15
2015-06-09,24519129,573966203,23.9,22.8,23.1,-0.9,6511,3231,23.9
2015-06-10,9305311,216354170,23.55,23.0,23.2,0.1,3405,3231,23.0
2015-06-11,15860337,363179749,23.6,22.65,22.7,-0.5,6182,3231,23.5
2015-06-12,14155720,320185013,23.0,22.5,22.55,-0.15,5218,3231,22.5
2015-06-15,9347244,211437220,22.85,22.5,22.5,-0.05,4336,3231,22.6
2015-06-16,14975969,329592468,22.7,21.75,21.9,-0.6,5993,3231,22.5
2015-06-17,10915147,241033658,22.3,21.9,22.05,0.15,4384,3231,21.95
2015-06-18,10617583,238133210,22.7,22.1,22.45,0.4,3953,3231,22.1
2015-06-22,8701382,197888529,22.9,22.5,22.5,0.05,3027,3231,22.65
2015-06-23,7836479,177426511,22.85,22.55,22.55,0.05,3532,3231,22.8
2015-06-24,4133068,93359127,22.7,22.5,22.7,0.15,1693,3231,22.6
2015-06-25,14238263,325882704,23.25,22.65,22.75,0.05,5204,3231,22.8
2015-06-26,8012331,183336730,23.15,22.65,22.9,0.15,2643,3231,22.75
2015-06-29,9787072,221099492,22.9,22.35,22.9,0.0,3139,3231,22.5
2015-06-30,16276967,379369729,23.65,22.65,23.4,0.5,4883,3231,22.7
2015-07-01,14775829,351057198,24.05,23.2,23.9,0.5,5061,3231,23.25
2015-07-02,15356812,367423688,24.45,23.35,24.0,0.1,4902,3231,23.7
2015-07-03,16001085,385276384,24.45,23.6,24.05,0.05,4080,3231,23.7
2015-07-06,11335401,272963424,24.4,23.8,24.1,0.05,3031,3231,23.8
2015-07-07,12931651,313116929,24.45,23.95,24.1,0.0,3840,3231,24.1
2015-07-08,17842450,415085550,23.95,22.75,22.85,-1.25,5281,3231,23.9
2015-07-09,18735219,424486808,23.2,22.1,23.1,0.25,7593,3231,22.5
2015-07-13,16815339,384484847,23.25,22.6,22.8,-0.3,6401,3231,23.25
2015-07-14,11955410,271221325,22.95,22.55,22.8,0.0,5222,3231,22.85
2015-07-15,11698221,262970712,22.9,22.2,22.45,-0.35,4644,3231,22.8
2015-07-16,11660563,260983773,22.6,22.15,22.55,0.1,3655,3231,22.15
2015-07-17,7627967,170808693,22.55,22.3,22.5,-0.05,2355,3231,22.4
2015-07-20,6782280,152828945,22.7,22.35,22.5,0.0,2953,3231,22.7
2015-07-21,7086169,160197024,22.75,22.5,22.6,0.1,3054,3231,22.55
